t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,dist_s0,dist_s1
6.28999999999991,0.5963276562485794,-0.19440849781254796,0.04181304476548878,0.04856740158842926,0.11848852259839882,0.08612500096205622,ok,1.68276460176153,-1.6520395755856578,-1.7077134811632122,-1.8468060726231357,-1.7129394273930307,1.7557632164613923,1.187590068898915,0.020458096596853662,-0.01409295673439762,-0.031032041207785,0.039899065077206065,-0.02278551472982952,0.03659774562163601,-0.01218198744659497,0.4772680493066636,0.5599559180420557
6.29999999999991,0.5963994114101379,-0.194454452054603,0.041620261335319625,0.04826044282634135,0.11848833906665979,0.045250000766827725,ok,1.6829691827274986,-1.6521805051530019,-1.70802380157529,-1.8464070819723637,-1.713167282540329,1.7561291939176087,1.187468249024449,0.020245511473649818,-0.014035990062403074,-0.030889428248693698,0.03954539370443712,-0.022696065514632723,0.03643184263565782,-0.01205944777992264,0.4790954547889826,0.5618096567711633
6.30999999999991,0.5964703661036366,-0.19450002785496878,0.04142838320961853,0.04795560880474041,0.11848805322836725,0.042749999920488335,ok,1.6831716378422352,-1.6523208650536259,-1.708332695857777,-1.8460116280353194,-1.7133942431954754,1.7564935123439653,1.1873476545466497,0.020035061062470952,-0.013979256284869832,-0.030747543763782723,0.039195021119229054,-0.022607091017944937,0.03626666262742904,-0.0119380947137691,0.48092325026071264,0.563664030891252
6.31999999999991,0.596540528797715,-0.19454522860123666,0.04123740582350338,0.04765288253057875,0.11848766684205092,0.17462499999965075,ok,1.68337198845286,-1.6524606576164746,-1.7086401712954147,-1.8456196778241272,-1.7136203141056547,1.7568561789702397,1.187228273599512,0.0198267221739329,-0.013922754147044913,-0.03060638296396318,0.03884791301058186,-0.022518586111332915,0.036102203182140045,-0.011817916209799429,0.48275143171701845,0.5655190353220126
6.3299999999999095,0.5966099078647203,-0.19459005764615742,0.04104732463887498,0.047352247173758376,0.11848718163924336,0.21791700055473484,ok,1.6835702556745993,-1.652599885157945,-1.7089462351250544,-1.8452311986940213,-1.713845499966768,1.757217201002061,1.1871100944374142,0.019620471899548388,-0.013866482405717693,-0.030465941106637997,0.03850403546539806,-0.022430545751152026,0.03593846187400216,-0.01169890035858329,0.4845799950973541,0.5673746650475753
6.339999999999909,0.5966785115819264,-0.19463451830805686,0.040858135144232435,0.047053686065279356,0.11848659932491404,0.1565000002301531,ok,1.6837664603935947,-1.6527385499820022,-1.7092508945361207,-1.8448461583393674,-1.7140698054242796,1.757576585620801,1.1869931054338283,0.019416287608021384,-0.013810439829067567,-0.030326213495043892,0.03816335496358119,-0.022342964976981985,0.03577543626682551,-0.011581035378234815,0.48640893295113435,0.5692309151154465
6.349999999999909,0.5967463481327345,-0.1946786138712464,0.040669832854488164,0.04682182210616052,0.11848592157790078,0.1005829999485286,ok,1.6839606232696749,-1.6528766543802929,-1.709554156671071,-1.8444645247897316,-1.7142932350740494,1.7579343399834693,1.186877295080046,0.019234458704506914,-0.013754208614743527,-0.03017992376695325,0.037855477805948265,-0.02224782271538838,0.03560727351799289,-0.011474950067741277,0.48823824140545075,0.5710877806354648
6.359999999999909,0.5968134950337112,-0.1947223710634645,0.04048243533375835,0.046636944246782504,0.11848516080561723,0.2729580010054633,ok,1.68415296785672,-1.6530141964664402,-1.7098559559087405,-1.844085970011672,-1.7145157133012032,1.7582904127186492,1.1867625455793684,0.019068567000747067,-0.013697816368010395,-0.030029347391507342,0.0375710116484545,-0.02214751001917722,0.0354358314196871,-0.011377278674295138,0.49006789619720564,0.5729452777997618
6.369999999999909,0.5968800077945371,-0.19476580916842193,0.04029595351994811,0.046452768221619166,0.11848432595915614,0.20187500012980308,ok,1.6843436535267275,-1.6531511746301204,-1.7101562493826556,-1.8437102598951876,-1.714737188401395,1.758644771032846,1.1866487727926256,0.018903954027442733,-0.013641504556359518,-0.029879735770006518,0.037288552984568346,-0.022047739820695716,0.03526535539957994,-0.011280336644010881,0.4918978784606372,0.5748034162355488
6.379999999999908,0.596945891777026,-0.1948089305095327,0.040110382581333384,0.04626929181640903,0.1184834181975665,0.09658400085754693,ok,1.684532693067002,-1.653287589675684,-1.7104550467403556,-1.8433373743653418,-1.714957665799602,1.7589974245868418,1.1865359694261854,0.0187406094876945,-0.013585282407785202,-0.02973107680234123,0.03700808814041859,-0.021948513293226668,0.035095833090449925,-0.011184119572630248,0.4937281854870545,0.5766621904634897
6.389999999999908,0.5970111522978818,-0.1948517373926381,0.039925717713278866,0.046086512817027504,0.11848243866492676,0.09129200043389574,ok,1.684720099161879,-1.6534234424997618,-1.710752357508379,-1.8429672934839376,-1.7151771509325342,1.7593483829177463,1.186424128230459,0.018578523208428364,-0.01352915856345437,-0.029583358780882762,0.0367296035279432,-0.02184983124323897,0.0349272526363933,-0.011088623036493809,0.49555881353664805,0.5785215950794225
6.399999999999908,0.5970757946290731,-0.194894232106142,0.039741954138098,0.045904429009606756,0.11848138849053122,0.22704100047121756,ok,1.6849058843939633,-1.6535587340853963,-1.7110481910961879,-1.8425999974486582,-1.7153956492449667,1.7596976554441102,1.1863132420000941,0.018417685136688206,-0.01347314111151153,-0.02943657037077304,0.036453085644212936,-0.021751694134859036,0.03475960266399266,-0.010993842595299287,0.49738975799921553,0.5803816247527928
