t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,dist_s0,dist_s1
7.0799999999998935,0.38692417803984896,-0.45610817638383155,0.46198573847474494,0.12827257230472833,0.09195545659449296,0.17654099974606652,ok,-1.0610034452569856,-1.3519932213894321,1.2790268753640546,-1.6132389397088542,-1.4978777285041478,-1.0539551063741626,0.042313422629632245,-0.012060844895865121,0.10285222149741818,-0.035814505511528656,-0.04196474453583993,0.03839935601168645,0.02465560531833587,0.15645516393256692
7.089999999999893,0.38705641149486597,-0.45590643718881296,0.4615823008821925,0.12757427962754297,0.09198371692184387,0.07825000102457125,ok,-1.0605803110306893,-1.3521138298383908,1.2800553975790288,-1.6135970847639696,-1.4982973759495062,-1.0535711128140457,0.042107568423110295,-0.01190285098260215,0.10198096751892168,-0.035342532276054044,-0.04170418814389637,0.03821814329675603,0.026317233283176852,0.15764910264351906
7.099999999999893,0.38718792114007183,-0.4557055929095807,0.46118177929928866,0.1268800029638882,0.09201161969017399,0.06849999954283703,ok,-1.0601592353464582,-1.3522328583482168,1.281075207254218,-1.6139505100867302,-1.498714417830945,-1.053188931381078,0.04190253707431639,-0.011748972422585368,0.10112118494764392,-0.034877087554381195,-0.04144536581057393,0.03803756985527071,0.027981219887558903,0.15884658361960075
7.109999999999893,0.38731870722063816,-0.455505634935706,0.4607841483186381,0.1261897160519596,0.09203916974046311,0.07066699981805868,ok,-1.059740209975715,-1.3523503480724426,1.2820864191036945,-1.614299280962274,-1.4991288714890507,-1.0528085556825253,0.04169832901031371,-0.011599117067113914,0.10027267709989447,-0.03441806675321616,-0.04118826611672318,0.03785763759026166,0.029647328376171136,0.16004755167406232
7.119999999999893,0.3874487700591486,-0.45530655481272675,0.4603893828275936,0.12550339285749126,0.09206637182243706,0.07908299994596746,ok,-1.0593232266856119,-1.3524663392431138,1.2830891458746934,-1.6146434616298062,-1.499540754150218,-1.0524299793066227,0.041494944546632814,-0.011453194870007096,0.0994352514187545,-0.03396536735140295,-0.040932877691449064,0.0376783482857422,0.03131534231923522,0.16125192108378306
7.129999999999892,0.3875781100535228,-0.4551083442386984,0.45999745800349,0.12482100757063362,0.09209323059685788,0.05649999911838677,ok,-1.0589082772401455,-1.352580871191814,1.284083498388881,-1.6149831153033203,-1.4999500829271324,-1.0520531958237653,0.0412923838907471,-0.01131111783323675,0.09860871936891263,-0.033518888848295444,-0.04067918921291509,0.03749970361000864,0.03298506362093179,0.16245966087541452
7.139999999999892,0.3877067276749915,-0.454910995060831,0.45960834930898326,0.12414253460290296,0.09211975063774606,0.04612500015355181,ok,-1.058495353401238,-1.3526939823701463,1.28506958558257,-1.6153183041918033,-1.5003568748192615,-1.0516781987876653,0.04109064714545038,-0.011172799954191622,0.09779289633465381,-0.03307853271367198,-0.0404271894091079,0.03732170511885454,0.034656310749842156,0.16367069888663577
7.149999999999892,0.38783462346612313,-0.45471449927220936,0.4592220324874884,0.1234679485841932,0.09214593643453446,0.08895799874153454,ok,-1.0580844469297834,-1.3528057103696882,1.2860475145459165,-1.6156490895189402,-1.5007611467133526,-1.0513049817364768,0.04088973431213068,-0.011038157174544937,0.0969876015209994,-0.032644202339196536,-0.040176867058553487,0.03714435425868979,0.03632891716387372,0.16488497511989642
7.159999999999892,0.3879617980388984,-0.45451884900859496,0.458838483558716,0.12279722435985324,0.09217179239415844,0.1905409990285989,ok,-1.057675549586662,-1.3529160919414336,1.2870173905611264,-1.615975531542332,-1.501162915383938,-1.0509335381938898,0.04068964529395355,-0.010907107330644024,0.09619265785782347,-0.03221580299136273,-0.039928210991000565,0.03696765236957947,0.038001788690858684,0.16610243102512845
7.169999999999892,0.388088252072833,-0.45432403654530623,0.45845767881430066,0.12213033698782327,0.09219732284308332,0.051541999710025266,ok,-1.0572686531337225,-1.35302516301474,1.2879793171397047,-1.6162976895722456,-1.501562197493848,-1.050563861670194,0.04049037989894309,-0.010779570105392095,0.09540789190682795,-0.031793241765805655,-0.03968121008806117,0.0367916006881889,0.03967377033742199,0.16732301952862977
7.179999999999891,0.3882139863131466,-0.4541300542941765,0.45807959481352567,0.12146726173583358,0.09222253202927098,0.04462500146473758,ok,-1.056863749334733,-1.353132958715794,1.288933396058773,-1.6166156219899037,-1.5019590095947286,-1.050195945663312,0.04029193784298154,-0.010655466981552258,0.09463313377134323,-0.03137642754303536,-0.03943585328381422,0.036616200350656186,0.04134487565133585,0.16854668456475558
7.189999999999891,0.3883390015689769,-0.4539368948005847,0.457704208379134,0.12080797407865923,0.09224742412408916,0.04375000025902409,ok,-1.0564608299563032,-1.3532395133856097,1.2898797273964864,-1.616929386265334,-1.5023533681275667,-1.0498297836598056,0.0400943187527142,-0.010534721196430888,0.09386821700875804,-0.030965270945432912,-0.03919212956537694,0.03644145239537836,0.04301509611348739,0.16977337140944537
7.199999999999891,0.38846329871163754,-0.45374455074056014,0.4573314965932291,0.12015244969543235,0.09227200322416346,0.043583999286056496,ok,-1.056059886768776,-1.353344860597574,1.290818409566574,-1.6172390389747884,-1.5027452894232205,-1.0494653691358518,0.03989752216837477,-0.010417257697893532,0.09311297854557718,-0.030559684295545213,-0.038950027973434075,0.036267357765725636,0.04468445475859992,0.17100302664530986
7.209999999999891,0.38858687867291875,-0.4535530149179574,0.4569614367932593,0.11950066446700919,0.09229627335317553,0.04333300057624001,ok,-1.0556609115470923,-1.353449033174553,1.2917495393520297,-1.6175446358177439,-1.5031347897029548,-1.0491026955581946,0.03970154754652546,-0.01030300310167212,0.09236725859500448,-0.03015958157564032,-0.038709537602744266,0.036093917312679434,0.04635295080219255,0.17223560780034464
7.2199999999998905,0.3887097424434291,-0.4533622802616992,0.45659400656808635,0.11885259447338997,0.09232023846360989,0.04350000017439015,ok,-1.055263896071627,-1.3535520632055698,1.2926732119379798,-1.6178462316335003,-1.5035218850789822,-1.0487417563850678,0.039506394262714795,-0.010191885649906772,0.09163090057683955,-0.0297648783883373,-0.038470647602604414,0.03592113179739382,0.04802059126964249,0.17347106367920972
7.22999999999989,0.3888318910709775,-0.4531723398230861,0.45622918375413457,0.11820821599119236,0.09234390243844696,0.04345799970906228,ok,-1.0548688321289998,-1.3536539820620688,1.2935895209437482,-1.6181438804173836,-1.5039065915550083,-1.0483825450670938,0.03931206161406909,-0.010083835170889387,0.09090375103983755,-0.029375491918519212,-0.03823334717728942,0.035749001893698173,0.049687383082330186,0.1747093537779565
7.23999999999989,0.3889533256589954,-0.4529831867731711,0.45586694643161835,0.11756750549117305,0.09236726909281087,0.04304200047045015,ok,-1.0544757115128591,-1.3537548204137777,1.2944985584541466,-1.6184376353365688,-1.5042889250267812,-1.048025055048157,0.03911854882179175,-0.00997878303997481,0.09018565958621859,-0.028991340896234955,-0.03799762558645999,0.03557752819051631,0.05135333305967607,0.1759504102370591
7.24999999999989,0.38907404736499573,-0.45279481440019775,0.45550727292084614,0.11693043963580046,0.092390342175566,0.04337499922257848,ok,-1.0540845260246412,-1.3538546082441774,1.295400415050009,-1.6187275487455313,-1.5046689012826457,-1.0476692797662517,0.03892585503360854,-0.009876662141604188,0.08947647879839873,-0.028612345560722657,-0.03776347214554233,0.035406711194235004,0.05301845558590661,0.17719420426767507
